cv_index,best_posting_index,similarity_score,cv_text,posting_text
0,47635,0.9995536564888857,Big data analytics working and database warehouse manager with robust experience in handling all kinds of data. I have also used multiple cloud infrastructure services and am well acquainted with them. Currently in search of role that offers more of development.,"Fenner Dunlop is looking for a Systems Administrator to join our corporate Information Technology team in Pittsburgh, Pennsylvania. In this position, you'll undertake intricate systems administration, network security, user account management, and wireless network management tasks, alongside telecommunications responsibilities. You'll play a pivotal role in designing, configuring, and upgrading platforms and systems, offering recommendations for enhancements to ensure system reliability and performance. Your involvement in IT projects will focus on enhancing functionality and driving improvements. Reporting directly to the IT Director for North America, you'll be instrumental in shaping and advancing IT initiatives across the region.
Fenner Dunlop, a Michelin Group company, designs and manufactures the widest range of bulk material handling conveyor belts in the world. We strive to be the premier provider of the safest and most reliable conveyor belting and services to a variety of heavy industrial markets such as coal mining, hard rock mining, sand, gravel, wood handling, power generation, pulp and paper. Fenner Dunlop provides North American made belting, manufactured at our facilities located throughout the United States and Canada. For over 150 years, Fenner Dunlop has researched, designed, developed, manufactured, and tested its conveyor belting products, supporting nearly any type of conveyor application, and providing the right solutions to protect conveyor system investments in the harshest conveying environments.

What You'll Do
Project and Change Management:Strategic execution of project management duties, taking direction as needed from IT Director.Facilitate clear and proactive communication with end users, ensuring they are well-informed of departmental initiatives and project timelines.Develop, implement, and maintain best-practice change management procedures to adapt to evolving business needs.Partner with business units to identify opportunities for improvement and tailor support to their unique goals.
Technical Functions:Oversight of the complete network infrastructure, encompassing firewalls, routers, switches, and access points.Supervision of server management, covering Windows, VMware, and Linux operating systems.Formulation and execution of comprehensive life-cycle management plans.Leadership in IT project management to enhance and bolster infrastructure capabilities.Swift response and resolution to cybersecurity incidents through proactive incident management.Creation and upkeep of thorough infrastructure documentation.Assistance in the deployment and upkeep of cybersecurity controls to fortify the system's defense mechanisms.
Customer Service:Provide excellent customer service and effective communication with employees, ensuring timely response and troubleshooting.Demonstrate a passion for customer service, consistently delivering support with a genuine desire to assist others.Possess strong verbal and written communication skills, ensuring a positive and responsive approach in all interactions.Collaborate with cross-functional teams to understand and meet the requirements of various departments.
Confidentiality and Data Security:Handle sensitive employee information with the utmost confidentiality, ensuring compliance with data protection regulations.Safeguard confidential data related to IT and systems administration from unauthorized access or disclosure.
Additional Responsibilities:Deliver advanced technical support for escalated end-user issues, ensuring swift resolution and user satisfaction.Serve as the primary technical support resource for end users in the absence of primary support personnel, maintaining seamless operations and user productivity.Collaborate with the ERP team to optimize performance and resolve any ERP-related issues, ensuring smooth functionality and maximizing system efficiency.Travel ~25% to company, customer, supplier, and conference locations located throughout North America, including overnight travel.Professional behavior is expected during working hours, when traveling for business, while on company/customer sites and at any/all times when representing the companyMust possess valid driver's license and passport.Perform any other task deemed necessary by management.

What You'll Need
Required Education & Experience:Bachelor's Degree in a related Computer Science or Information Technology degree or equivalent experience.5+ years of relevant IT experience, ideally in an environment supporting multiple locations.Advanced experience with PowerShell for automation and system management tasks.Skilled in virtualization technologies including VMware and Hyper-V, adept at optimizing virtualized environments for performance and scalability.Experience with Windows Server administration and Active Directory management, with a proven track record of ensuring smooth operations and user access.Knowledge of TCP/IP networking protocols, SMTP, SNMP, DHCP, DNS, VoIP, and VLAN configurations, facilitating seamless communication and network stability.Proficient in administering Office 365 services, ensuring efficient collaboration and productivity for end users.Capable of managing enterprise-level firewalls, switches, routers, and access points, maintaining network security and performance.The ability to thrive in a dynamic, fast-paced environment and manage multiple tasks and priorities effectively.
Additionally, candidates exhibiting the following skillset will be strongly preferred:Proficient in utilizing both public and private cloud computing platforms to optimize scalability, reliability, and cost-effectiveness.Experience with administrating Lotus Notes system.Experience utilizing vulnerability management systems to proactively identify and mitigate potential security risks, ensuring robust protection of organizational assets.Adept at automating IT workloads to streamline processes, increase efficiency, and minimize manual intervention, enhancing overall operational effectiveness.

What We Offer
At Fenner Dunlop, a Michelin Group company, we care about work/life balance as well as the health and financial wellbeing of our employees and their families. So, whether you're considering family planning, trying to decide how to best care for your family, or want to make a difference through volunteerism, you're sure to find Fenner Dunlop's competitive and comprehensive employee-focused benefits package helpful.
Medical, Dental, Vision, and Life InsuranceMedical Travel Reimbursement for critical healthcare travelCompany Paid Life InsuranceVolunteer, Caregiver, and Bereavement LeaveEducation ReimbursementFamily Planning ReimbursementCompetitive Paid Time Off & Company HolidaysRetirement Savings Plan with a dollar-for-dollar match up to 6% of your salaryExtensive Paid Parental Leave in the event of birth or adoptionOpportunities to purchase Michelin Stock at a discounted rateMichelin Tire RebatesEmployee Assistance Program that provides health, financial, and legal counseling among other resources
Interested in more details on our comprehensive employee benefits package? Just ask!"
1,48269,0.9994173390610472,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaningful data dashboards and evaluation models.,"Role: Data Cloud Administrator with Microsoft FabricLocation: Fort Lauderdale, FL
Job Details:Must Have Skills:• Azure/GCP Data Cloud Administrator• CI/CD - Azure DevOps (Provisioning, Monitoring, Reporting, Costs management) • Microsoft Fabric
Detailed Job Description:• Azure/GCP Data Cloud Administrator• CI/CD - Azure DevOps (Provisioning, Monitoring, Reporting, Costs management) • Microsoft Fabric"
2,0,0.0,"To obtain a position in a fast-paced business office environment, demanding a strong organizational, technical, and interpersonal position utilizing my skills and attributes.","Job descriptionA leading real estate firm in New Jersey is seeking an administrative Marketing Coordinator with some experience in graphic design. You will be working closely with our fun, kind, ambitious members of the sales team and our dynamic executive team on a daily basis. This is an opportunity to be part of a fast-growing, highly respected real estate brokerage with a reputation for exceptional marketing and extraordinary culture of cooperation and inclusion.Who you are:You must be a well-organized, creative, proactive, positive, and most importantly, kind-hearted person. Please, be responsible, respectful, and cool-under-pressure. Please, be proficient in Adobe Creative Cloud (Indesign, Illustrator, Photoshop) and Microsoft Office Suite. Above all, have fantastic taste and be a good-hearted, fun-loving person who loves working with people and is eager to learn.Role:Our office is a fast-paced environment. You’ll work directly with a Marketing team and communicate daily with other core staff and our large team of agents. This description is a brief overview, but your skills and interests will be considered in what you work on and as the role evolves over time.Agent Assistance- Receive & Organize Marketing Requests from Agents- Track Tasks & Communicate with Marketing team & Agents on Status- Prepare print materials and signs for open houses- Submit Orders to Printers & Communicate & Track DeadlinesGraphic Design & Branding- Managing brand strategy and messaging through website, social media, videos, online advertising, print placement and events- Receive, organize, and prioritize marketing requests from agents- Fulfill agent design requests including postcards, signs, email marketing and property brochures using pre-existing templates and creating custom designs- Maintain brand assets and generic filesEvents & Community- Plan and execute events and promotions- Manage Contacts & Vendors for Event Planning & SponsorshipsOur company is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.Job Type: Full-time
Pay: $18-20/hour
Expected hours: 35 – 45 per week
Benefits:Paid time offSchedule:8 hour shiftMonday to FridayExperience:Marketing: 1 year (Preferred)Graphic design: 2 years (Preferred)Work Location: In person
"
3,33622,0.9937146182410872,"Professional accountant with an outstanding work ethic and integrity seeking to make a valuable contribution utilizing strong analytical, organizational, communication, and computer skills.","You're the right person if you love...Completing client account documents for Schwab and insurance companiesWorking with vendors until the client accounts are establishedUpdating our CRM (Redtail) as appropriatePreparing reports for client review meetingsPreparing proposals and work with vendors as neededPrioritizing our time and attention so we get work on our best projectsManage special projects (there's always something new!)
You're the HIGH-ACHIEVER We're Looking For If...• You’re unusually organized and super detail-oriented• You’re super-reliable. When you say you’ll do something, you’ll do so without question or follow-up.• You have high EQ and naturally work well with others.• You are resourceful and have a “figure-it-out” mentality.
Are We Right For You?We want your time at Red Mountain Financial to be the best professional experience you ever have:
• Work WHERE You Want: Embrace the flexibility of a 100% remote role. Of course, you’re welcome to work in the Birmingham, AL, office if you’d like.• Work WHEN You Want: Freedom to complete your tasks at any time of day that suits your lifestyle. Let’s work together to find a schedule that fits both of us. We anticipate this being a 20-30 hour per week position.• Compensation: Competitive compensation and opportunity for growth!• Vacation: Paid vacation that only improves over time!• Retirement: Retirement plan with a 3% match• Professional Growth: Want to grow? Mentorship, professional education, licensing, etc. are part of your professional growth.
The full job posting & link to apply (yes, you must apply through our website, not LinkedIn) is here: https://toddtalbot.com/client-operations-specialist/"
4,77307,0.9990081415949176,"To secure an IT specialist, desktop support, network administration, database administrator, technical support specialist or related position with a growing organization where my Microsoft certification, technical aptitude, networking, Windows and Mac OS, Apple and Android IOS, web development, application development, Linux, Microsoft applications, managing, testing, client support, help desk, technical support, troubleshooting, and leadership skills can benefit those who I work for as well as myself.","Position: -IT Support Specialist Level 2Employment Type: - Full Time EmploymentRole: - OnsiteLocation:- Newport News, Virginia, United States
Job DescriptionThe IT Support Specialist Level 2 – Desktop Technician will provide day to day local\Onsite desktop support, receive inbound calls, answer questions, troubleshoot and document steps performed to resolve challenges with hardware, software, and application issues in a ticketing system. The candidate will also need to facilitate customer resolution for calls and engage their supervisors and managers to ensure operational consistency across all shifts within the IT Support Centre. Desktop Support Engineer provides Break Fix, fault diagnosis and resolution. Providing fault analysis to customer’s various core operating systems and platforms, as well be able to provide support and apply desktop fault resolution for the approved application suite. Ideal candidate should have 2-3 years’ experience in Windows Desktop support.Position Responsibilities and FunctionsProvide first/second level contact and problem resolution for customer issues.Work with Third Party Vendors to remediate complex AV issues as needed.Provide timely communication on issue status and resolution.Maintain ticket updates for all reported incidents.Install, upgrade, support and troubleshoot XP, Windows 7, Windows 8.1, Windows 10 and Microsoft Office 2010, Cisco Jabber, another authorized desktop application.Should have basic knowledge of Mac operating system, to support Apple pc users.Install, upgrade, support and troubleshoot for printers, computer hardware.Performs general preventative maintenance tasks on computers, laptops, printers.Performs remedial repairs on Desktops, laptops, printers, and any other authorized peripheral equipment.Use diagnostic tools to troubleshoot problems associated with network connectivity, and workstation hardware/software.Broad experience of IT with basic understanding of Networks, Servers, Audio/Visual, Smart Devices and Telecoms.This position requires the ability to work in a project-based environment requiring flexibility and teamwork. Performs other duties as assigned.Candidate Required Minimum Qualifications and SkillsBachelor’s degree or equivalent in Computer Science or related field.CompTIA A+, Microsoft Certified Professional (MCP) or better.Minimum of 18 months years of IT experience.Windows 7-10, Microsoft Active Directory, utilization of GPOs, MS Office 365, PC hardware installation and troubleshooting, Enterprise anti-virus solutions, Helpdesk ticketing systems.Mobile device management including IOS and Android devices, Enterprise encryption solutions, Windows PC/laptop management via Active Directory.Proven analytical, troubleshooting, and problem-solving skills.Proven ability to multi-task, effectively determine priorities and meet SLA’s.Excellent communication relationship-building and internal customer service skills.Adaptable and flexible in a fast-changing industry and work environment.Willing to work off-hours and weekends when required for projects or emergency support.In addition, the IT Support Specialist Level 2 Technician will mentor and assist Band 1 technicians in their work and provide support to Band 3 Engineers in resolving tickets."
5,26336,0.9993968339516736,"Certified Data analyst with a degree in Electronics Engineering, I have hands on experience in analyzing & interpreting data with good numerical accuracy.","Job Description

Data Integrity Analyst/Lead (ERP/EDM)

PA area - candidate should live in the SE or NE US

Contract: 12+ months

Description of Duties

 Data Profiling thru discovery and documentation

Facilitate and lead data workshops to gather, build, and document data objects and build their profiles.Data MappingCreate detailed data flows from Business Processes and reports.

 Data Cleansing & Investigation

 Removing duplicates and inconsistencies

 Standardizing data formats and correcting errors

 Enhancing data quality and accuracy (Enterprise Quality Data)

 Optimizing data modeling and database management

The Selected Candidate Will Have Experience With

 SAP ECC and S4 data models and structure especially in HR, Finance, Asset Management, etc.

 Pulling data from SAP for analysis.

Mapping and data flows.Governance tools (Informatica Axon/IDQ administration).

 Cataloging & lineage creation.

 Cataloging tools (Informatica EDC Administration)"
6,61074,0.9988363747913551,"Enthusiastic, knowledgeable professional with experience and proven success in program and project management, online and instructor led design, development and facilitation. Outstanding problem-solving skills, as proven through implementation of accounting software packages, significantly improving billing and reporting processes. Excellent management skills, encouraging career growth of subordinates through additional training and opportunities. Keep up-to-date with industry changes through professional affiliation.","Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us.

The Intelligence Center Acquisition Department (N943), within the MITRE Intelligence Center, supports the business side of mission by helping the sponsor leverage its buying power and enhancing overall acquisition effectiveness. We deliver timely, accurate, and innovative acquisition solutions by leveraging best practices, lessons learned, and subject matter expertise. We develop and apply innovative solutions, thought leadership, and evidence-based recommendations that deliver high impact to our Sponsors’ missions, and we shape and grow the future MITRE intelligence workforce through intentional talent development.

Job Description:

The Intelligence Center Acquisition Department is seeking an experienced Principal IC Contracts and Acquisition professional to join our team. In this role, the selected candidate will:

Lead, develop and implement acquisition efforts throughout their lifecycle including conceptualization, requirements definition, procurement and standup to ensure the desired benefits of each are realized and align with organizational goals and budget constraintsLead and advise the sponsor on acquisition strategy, roadmap, repeatable processes, and develop actionable acquisition solutions to achieve desired outcomesDevelop acquisition artifacts to include market research reports, requirements documents (SOW, SOO, PWS), Requests for Proposals (RFP), Requests for Information (RFIs), source selection plans, acquisition plans, risk management plans, cost estimates, and other documents as necessaryParticipate and assist in source selection, recommend evaluation factors, evaluation, and analysis of proposal-provided data/informationSupport efforts to research, develop, and implement innovative solutions to drive cost effective capabilitiesAttend meetings with the technical, systems engineering, cost, and procurement teams to effectively define acquisition products that meet technical, schedule, and programmatic requirementsMaintain currency and awareness with changes in FAR and OT regulations and policies

Basic Qualifications:

Active TS/SCI clearance with PolygraphDue to our urgent need, candidates without an existing TS/SCI clearance with CI or FS polygraph will not be considered for this openingTypically requires a minimum of 10 years of related experience with a Bachelor’s degree; or 8 years and a Master’s degree; or a PhD with 5 years’ experience; or equivalent combination of related education and work experience.Proven experience providing acquisition support to the IC to achieve desired outcomesExperience developing repeatable acquisition process, acquisition artifacts (e.g., requirements documents (SOW, SOO, PWS), requests for proposals, source selection plans, acquisition plans, risk management plans, cost estimates, and other documents as necessary)Ability to translate operational mission needs into acquisition, technical, and programmatic requirementsAbility to work independently and as part of a teamA high degree of professionalism and integrityExcellent written and verbal communication skillsThis position has an on-site requirement of 5 days a week on-site

Preferred Qualifications: 

Demonstrated experience and capability to advise on all aspects of the federal acquisition life cycle to implement and adopt innovative acquisition solutions.Experience participating and assisting in source selection, recommending evaluation factors, proposal evaluation process, and analyzing offer proposals.FAC-C, DAWIA Contracting Level II or III, or NCMA CFCM or CPCM certification.DAWIA Program Management Level II or III or PMI PMP certification.

This requisition requires the candidate to have a minimum of the following clearance(s):

Top Secret/SCI/Polygraph

This requisition requires the hired candidate to have or obtain, within one year from the date of hire, the following clearance(s):

Top Secret/SCI/Polygraph

Work Location Type:

Onsite

MITRE is proud to be an equal opportunity employer. MITRE recruits, employs, trains, compensates, and promotes regardless of age; ancestry; color; family medical or genetic information; gender identity and expression; marital, military, or veteran status; national and ethnic origin; physical or mental disability; political affiliation; pregnancy; race; religion; sex; sexual orientation; and any other protected characteristics. For further information please visit the Equal Employment Opportunity Commission website EEO is the Law Poster and Pay Transparency.

MITRE intends to maintain a website that is fully accessible to all individuals. If you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of MITRE’s employment process, please email recruitinghelp@mitre.org.

Copyright © 2024, The MITRE Corporation. All rights reserved. MITRE is a registered trademark of The MITRE Corporation. Material on this site may be copied and distributed with permission only.

Benefits information may be found here"
7,77973,0.9978426446574676,"Energetic, innovative engineering undergraduate, passionate about Machine Learning, NLP and Deep Learning for solving real-world problems, aiming to work in an organization providing great learning experience and growth opportunities for mutual benefit.","In this role you will operate as the Technical Lead and Head of the Machine Learning practice for the organization.
 

Lead MLOps Engineer

 Our client, a front-runner in AI-first Insurance practices, is looking for a talented Lead MLOps Engineer to operate as the Technical Lead and Head of the Machine Learning practice for the organization.
 


 



Role & Responsibilities:

Design, build, and maintain Machine Learning Operations (MLOps) processes.Collaborate with data scientists and engineers to deploy and manage Machine Learning models.Automate model training, testing, and deployment workflows.Optimize MLOps pipelines for scalability and performance.Monitor and troubleshoot Machine Learning systems to ensure reliability and efficiency.

 



Key Skills:

Strong experience in Machine Learning Operations and Systems.Proficiency in deploying and managing Machine Learning models in production environments.Expertise in data processing, model training, and deployment pipelines.Ability to automate and optimize MLOps workflows.Excellent problem-solving and troubleshooting skills.MLOps Leadership - Technical Expertise at a very high levelWorking experience in Sentiment AnalysisWorking experience in Predictive Modelling/AnalyticsAdvanced knowledge in AI/ML Model build, deployment and maintenance practices.Insurance Sector or Financial Services Industry experience is highly beneficial.Experience migrating Airflow DAGs over to Dagster.Experience in NLP - Call Center Automation (Preferred)
 This is a permanent job position with competitive salary and benefits. If you are passionate about Machine Learning Operations and want to work in the Insurance industry, then this role is perfect for you!

Desired Skills and Experience

In this role you will operate as the Technical Lead and Head of the Machine Learning practice for the organization.

Requirements:
MLOps Leadership - Technical Expertise at a very high level
Working experience in Sentiment Analysis
Working experience in Predictive Modelling/Analytics
Advanced knowledge in AI/ML Model build, deployment and maintenance practices.
Insurance Sector or Financial Services Industry experience is highly beneficial.
Experience migrating Airflow DAGs over to Dagster.
Experience in NLP - Call Center Automation (Preferred)
"
8,60170,0.9962713390658915,"Soon-to-be Computer Science graduate eager to continue exploring the inspiring, innovative field of Android Development. As a seasoned intern, I am looking to join an Android Development team with AT&T as a junior developer.","Senior Software Engineer / Team Lead for Android Development (hybrid)
Ziosk is revolutionizing the $472 billion restaurant industry by providing a suite of solutions powered by our enterprise grade software stack that serves casual dining, fast casual, polished casual and QSR restaurants. In 2024, the Ziosk network is poised for rapid growth and we are seeking A+ team members to expand our team in the areas of development, sales and customer service.
SummaryZiosk is looking for a Senior Software Engineer/Team Lead for Android Development with expertise in Android software development to join our team. The ideal candidate will lead a team of developers and contribute to the design, development, and maintenance of Android applications. This role requires a deep understanding of Android SDK, with strong skills in C++, Java, React Native, and Kotlin.
ResponsibilitiesLead and mentor a team of software developers in designing and implementing high-quality mobile applications.Develop applications using C++, Java and React Native and Kotlin for Android devices, eventually for IOS.Develop and maintain advanced applications for the Android platform.Collaborate with cross-functional teams to define, design, and ship new features.Ensure the performance, quality, and responsiveness of applications.Continuously discover, evaluate, and implement new technologies to maximize development efficiency.Manage the entire software development lifecycle including testing, integration, and publishing.Provide code reviews, feedback, and guidance to team members.Maintain code quality, organization, and automatization.
Qualifications & ExperienceBachelor’s degree in Computer Science, Engineering, or a related field.Minimum 5 years of experience developing software applicationsProficient in C++, Java, React Native, and Kotlin.JavaScript (ES6, TypeScript).Familiarity with RESTful APIs to connect Android applications to back-end services.

Ziosk is an Equal Opportunity employer offering competitive benefits and compensation. Candidates must be eligible to work in the U.S. and be able to commute daily to North Dallas. Applicants must be authorized to work for ANY employer in the U.S. We are unable to sponsor or take over sponsorship of an employment Visa currently. No agencies or third-party recruiters, please."
9,77973,0.9983699797483454,"Machine Learning Engineer seeking assignments Deep Learning, Reinforcement Learning, Tensorflow. Keras.","In this role you will operate as the Technical Lead and Head of the Machine Learning practice for the organization.
 

Lead MLOps Engineer

 Our client, a front-runner in AI-first Insurance practices, is looking for a talented Lead MLOps Engineer to operate as the Technical Lead and Head of the Machine Learning practice for the organization.
 


 



Role & Responsibilities:

Design, build, and maintain Machine Learning Operations (MLOps) processes.Collaborate with data scientists and engineers to deploy and manage Machine Learning models.Automate model training, testing, and deployment workflows.Optimize MLOps pipelines for scalability and performance.Monitor and troubleshoot Machine Learning systems to ensure reliability and efficiency.

 



Key Skills:

Strong experience in Machine Learning Operations and Systems.Proficiency in deploying and managing Machine Learning models in production environments.Expertise in data processing, model training, and deployment pipelines.Ability to automate and optimize MLOps workflows.Excellent problem-solving and troubleshooting skills.MLOps Leadership - Technical Expertise at a very high levelWorking experience in Sentiment AnalysisWorking experience in Predictive Modelling/AnalyticsAdvanced knowledge in AI/ML Model build, deployment and maintenance practices.Insurance Sector or Financial Services Industry experience is highly beneficial.Experience migrating Airflow DAGs over to Dagster.Experience in NLP - Call Center Automation (Preferred)
 This is a permanent job position with competitive salary and benefits. If you are passionate about Machine Learning Operations and want to work in the Insurance industry, then this role is perfect for you!

Desired Skills and Experience

In this role you will operate as the Technical Lead and Head of the Machine Learning practice for the organization.

Requirements:
MLOps Leadership - Technical Expertise at a very high level
Working experience in Sentiment Analysis
Working experience in Predictive Modelling/Analytics
Advanced knowledge in AI/ML Model build, deployment and maintenance practices.
Insurance Sector or Financial Services Industry experience is highly beneficial.
Experience migrating Airflow DAGs over to Dagster.
Experience in NLP - Call Center Automation (Preferred)
"
